date,crop,plot,moisture
Jul-21,corn,102,29.9
Jul-21,corn,102,30.2
Jul-21,corn,102,29.8
Jul-21,corn,103,27.3
Jul-21,corn,103,27.8
Jul-21,corn,103,26.9
Jul-21,corn,104,29.3
Jul-21,corn,104,28.7
Jul-21,corn,104,29.9
Jul-21,corn,201,29.3
Jul-21,corn,201,29.6
Jul-21,corn,201,27.3
Jul-21,corn,202,26.8
Jul-21,corn,202,29.5
Jul-21,corn,202,29.3
Jul-21,corn,203,23.1
Jul-21,corn,203,22.1
Jul-21,corn,203,26.3
Jul-21,corn,204,29
Jul-21,corn,204,28.7
Jul-21,corn,204,26.1
Jul-21,corn,301,27.9
Jul-21,corn,301,29.6
Jul-21,corn,301,29.2
Jul-21,corn,302,26.1
Jul-21,corn,302,28.2
Jul-21,corn,302,26
Jul-21,corn,303,28
Jul-21,corn,303,28.8
Jul-21,corn,303,24.9
Jul-21,corn,304,29
Jul-21,corn,304,28.1
Jul-21,corn,304,25.6
Jul-21,corn,401,29
Jul-21,corn,401,25.8
Jul-21,corn,401,24.5
Jul-21,corn,402,30.5
Jul-21,corn,402,28.7
Jul-21,corn,402,30.4
Jul-21,corn,403,26.5
Jul-21,corn,403,27.6
Jul-21,corn,403,26
Jul-21,corn,404,29.9
Jul-21,corn,404,30
Jul-21,corn,404,29.3
Jul-21,corn,501,27.7
Jul-21,corn,501,28.1
Jul-21,corn,501,24.8
Jul-21,corn,502,30.5
Jul-21,corn,502,29.7
Jul-21,corn,502,29.6
Jul-21,corn,503,26.1
Jul-21,corn,503,25.9
Jul-21,corn,503,27.2
Jul-21,corn,504,29.6
Jul-21,corn,504,27.3
Jul-21,corn,504,27.6
9/19/2022,corn,101,20.6
9/19/2022,corn,102,27.7
9/19/2022,corn,103,26.9
9/19/2022,corn,104,30.7
9/19/2022,corn,201,29.3
9/19/2022,corn,202,27.7
9/19/2022,corn,203,26.2
9/19/2022,corn,204,24.5
9/19/2022,corn,301,26.5
9/19/2022,corn,302,26.7
9/19/2022,corn,303,28.4
9/19/2022,corn,304,23.2
9/19/2022,corn,401,27.1
9/19/2022,corn,402,30.8
9/19/2022,corn,403,30.4
9/19/2022,corn,404,25.8
9/19/2022,corn,501,27.7
9/19/2022,corn,502,28
9/19/2022,corn,503,29.3
9/19/2022,corn,504,30.5
6/22/2022,corn,101,30.8
6/22/2022,corn,102,35.4
6/22/2022,corn,103,29.6
6/22/2022,corn,104,32.8
6/22/2022,corn,201,31.7
6/22/2022,corn,202,32.2
6/22/2022,corn,203,27.5
6/22/2022,corn,204,29.6
6/22/2022,corn,301,33.6
6/22/2022,corn,302,32.6
6/22/2022,corn,303,31.7
6/22/2022,corn,304,30.6
6/22/2022,corn,401,29.7
6/22/2022,corn,402,32.9
6/22/2022,corn,403,32.6
6/22/2022,corn,404,33.4
6/22/2022,corn,501,32.6
6/22/2022,corn,502,32.6
6/22/2022,corn,503,28
6/22/2022,corn,504,24.7
11/3/2023,corn,101,27.18120805
11/3/2023,corn,102,19.93355482
11/3/2023,corn,103,16.90647482
11/3/2023,corn,104,20.34632035
11/3/2023,corn,201,19.27272727
11/3/2023,corn,202,18.70748299
11/3/2023,corn,203,14.80144404
11/3/2023,corn,204,17.73049645
11/3/2023,corn,301,20
11/3/2023,corn,302,19.18819188
11/3/2023,corn,303,20.44609665
11/3/2023,corn,304,23.39622642
11/3/2023,corn,401,23.8317757
11/3/2023,corn,402,22.34432234
11/3/2023,corn,403,23.10606061
11/3/2023,corn,404,20
11/3/2023,corn,501,20.76271186
11/3/2023,corn,502,24.63235294
11/3/2023,corn,503,23.1372549
11/3/2023,corn,504,25
7/18/2023,corn,101,16.72354949
7/18/2023,corn,102,18.32061069
7/18/2023,corn,103,14.58333333
7/18/2023,corn,104,19.55719557
7/18/2023,corn,201,17.88617886
7/18/2023,corn,202,17.98561151
7/18/2023,corn,203,17.51592357
7/18/2023,corn,204,15.6996587
7/18/2023,corn,301,23.67346939
7/18/2023,corn,302,20.9486166
7/18/2023,corn,303,20.74688797
7/18/2023,corn,304,18.18181818
7/18/2023,corn,401,22.44897959
7/18/2023,corn,402,22.55319149
7/18/2023,corn,403,21.11553785
7/18/2023,corn,404,18.05054152
7/18/2023,corn,501,19.61538462
7/18/2023,corn,502,18.81533101
7/18/2023,corn,503,20.32520325
7/18/2023,corn,504,16.72597865
9/19/2022,beans,101,22.2
9/19/2022,beans,102,24.2
9/19/2022,beans,103,20.1
9/19/2022,beans,104,20.5
9/19/2022,beans,201,22.9
9/19/2022,beans,202,16
9/19/2022,beans,203,16.5
9/19/2022,beans,204,22.1
9/19/2022,beans,301,24.1
9/19/2022,beans,302,20.5
9/19/2022,beans,303,24.3
9/19/2022,beans,304,20.7
9/19/2022,beans,401,18.4
9/19/2022,beans,402,25.8
9/19/2022,beans,403,21.6
9/19/2022,beans,404,25.5
9/19/2022,beans,501,16.2
9/19/2022,beans,502,21.4
9/19/2022,beans,503,22.3
9/19/2022,beans,504,25.3
6/22/2022,beans,101,29.3
6/22/2022,beans,102,31.4
6/22/2022,beans,103,32
6/22/2022,beans,104,31.7
6/22/2022,beans,201,32.5
6/22/2022,beans,202,33.4
6/22/2022,beans,203,33.5
6/22/2022,beans,204,34.2
6/22/2022,beans,301,31.1
6/22/2022,beans,302,32.7
6/22/2022,beans,303,31.8
6/22/2022,beans,304,30.8
6/22/2022,beans,401,31.2
6/22/2022,beans,402,31.9
6/22/2022,beans,403,27.9
6/22/2022,beans,404,26.4
6/22/2022,beans,501,30.2
6/22/2022,beans,502,35.4
6/22/2022,beans,503,31.7
6/22/2022,beans,504,32.3
11/3/2023,beans,101,18.93004115
11/3/2023,beans,102,20.71713147
11/3/2023,beans,103,21.59090909
11/3/2023,beans,104,24.71910112
11/3/2023,beans,201,17.9916318
11/3/2023,beans,202,20.9486166
11/3/2023,beans,203,23.28244275
11/3/2023,beans,204,23.88059701
11/3/2023,beans,301,21.88679245
11/3/2023,beans,302,22.01492537
11/3/2023,beans,303,25.09803922
11/3/2023,beans,304,22.74509804
11/3/2023,beans,401,22.93233083
11/3/2023,beans,402,22.95719844
11/3/2023,beans,403,22.41992883
11/3/2023,beans,404,26.25482625
11/3/2023,beans,501,26.39405204
11/3/2023,beans,502,21.92307692
11/3/2023,beans,503,23.17073171
11/3/2023,beans,504,25.19685039
7/18/2023,beans,101,22.60536398
7/18/2023,beans,102,24.13793103
7/18/2023,beans,103,21.83908046
7/18/2023,beans,104,22.59414226
7/18/2023,beans,201,23.36065574
7/18/2023,beans,202,21.05263158
7/18/2023,beans,203,20.55335968
7/18/2023,beans,204,20.22058824
7/18/2023,beans,301,21.03174603
7/18/2023,beans,302,21.45748988
7/18/2023,beans,303,24.24242424
7/18/2023,beans,304,24.34456929
7/18/2023,beans,401,25.48262548
7/18/2023,beans,402,24.03100775
7/18/2023,beans,403,25.54112554
7/18/2023,beans,404,23.25581395
7/18/2023,beans,501,22.60536398
7/18/2023,beans,502,25.10460251
7/18/2023,beans,503,21.34831461
7/18/2023,beans,504,22.86821705
